Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match
India,Pakistan,India,5 runs,Johannesburg,2007/09/24,T20I # 46
Australia,India,India,15 runs,Durban,2007/09/22,T20I # 45
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,2007/09/22,T20I # 44
South Africa,India,India,37 runs,Durban,2007/09/20,T20I # 43
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,2007/09/20,T20I # 42
Australia,Sri Lanka,Australia,10 wickets,Cape Town,2007/09/20,T20I # 41
England,India,India,18 runs,Durban,2007/09/19,T20I # 40
South Africa,New Zealand,South Africa,6 wickets,Durban,2007/09/19,T20I # 39
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,2007/09/18,T20I # 38
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,2007/09/18,T20I # 37
England,New Zealand,New Zealand,5 runs,Durban,2007/09/18,T20I # 36
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,2007/09/17,T20I # 35
South Africa,England,South Africa,19 runs,Cape Town,2007/09/16,T20I # 34
Australia,Bangladesh,Australia,9 wickets,Cape Town,2007/09/16,T20I # 33
India,New Zealand,New Zealand,10 runs,Johannesburg,2007/09/16,T20I # 32
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,2007/09/15,T20I # 31
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,2007/09/15,T20I # 30
India,Pakistan,tied,-,Durban,2007/09/14,T20I # 29
Australia,England,Australia,8 wickets,Cape Town,2007/09/14,T20I # 28
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,2007/09/14,T20I # 27
India,Scotland,no result,-,Durban,2007/09/13,T20I # 26
England,Zimbabwe,England,50 runs,Cape Town,2007/09/13,T20I # 25
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,2007/09/13,T20I # 24
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,2007/09/12,T20I # 23
Pakistan,Scotland,Pakistan,51 runs,Durban,2007/09/12,T20I # 22
Kenya,New Zealand,New Zealand,9 wickets,Durban,2007/09/12,T20I # 21
South Africa,West Indies,South Africa,8 wickets,Johannesburg,2007/09/11,T20I # 20
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,2009/06/21,T20I # 116
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,2009/06/19,T20I # 115
Pakistan,South Africa,Pakistan,7 runs,Nottingham,2009/06/18,T20I # 114
India,South Africa,South Africa,12 runs,Nottingham,2009/06/16,T20I # 113
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,2009/06/16,T20I # 112
England,West Indies,West Indies,5 wickets,The Oval,2009/06/15,T20I # 111
Ireland,Pakistan,Pakistan,39 runs,The Oval,2009/06/15,T20I # 110
England,India,England,3 runs,Lord's,2009/06/14,T20I # 109
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,2009/06/14,T20I # 108
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,2009/06/13,T20I # 107
South Africa,West Indies,South Africa,20 runs,The Oval,2009/06/13,T20I # 106
India,West Indies,West Indies,7 wickets,Lord's,2009/06/12,T20I # 105
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,2009/06/12,T20I # 104
England,South Africa,South Africa,7 wickets,Nottingham,2009/06/11,T20I # 103
Ireland,New Zealand,New Zealand,83 runs,Nottingham,2009/06/11,T20I # 102
India,Ireland,India,8 wickets,Nottingham,2009/06/10,T20I # 101
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,2009/06/10,T20I # 100
New Zealand,South Africa,South Africa,1 run,Lord's,2009/06/09,T20I # 99
Netherlands,Pakistan,Pakistan,82 runs,Lord's,2009/06/09,T20I # 98
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,2009/06/08,T20I # 97
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,2009/06/08,T20I # 96
England,Pakistan,England,48 runs,The Oval,2009/06/07,T20I # 95
Scotland,South Africa,South Africa,130 runs,The Oval,2009/06/07,T20I # 94
Bangladesh,India,India,25 runs,Nottingham,2009/06/06,T20I # 93
Australia,West Indies,West Indies,7 wickets,The Oval,2009/06/06,T20I # 92
New Zealand,Scotland,New Zealand,7 wickets,The Oval,2009/06/06,T20I # 91
England,Netherlands,Netherlands,4 wickets,Lord's,2009/06/05,T20I # 90
Australia,England,England,7 wickets,Bridgetown,2010/05/16,T20I # 177
Australia,Pakistan,Australia,3 wickets,Gros Islet,2010/05/14,T20I # 176
England,Sri Lanka,England,7 wickets,Gros Islet,2010/05/13,T20I # 175
West Indies,Australia,Australia,6 wickets,Gros Islet,2010/05/11,T20I # 174
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,2010/05/11,T20I # 173
England,New Zealand,England,3 wickets,Gros Islet,2010/05/10,T20I # 172
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,2010/05/10,T20I # 171
Australia,Sri Lanka,Australia,81 runs,Bridgetown,2010/05/09,T20I # 170
West Indies,India,West Indies,14 runs,Bridgetown,2010/05/09,T20I # 169
England,South Africa,England,39 runs,Bridgetown,2010/05/08,T20I # 168
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,2010/05/08,T20I # 167
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,2010/05/07,T20I # 166
Australia,India,Australia,49 runs,Bridgetown,2010/05/07,T20I # 165
New Zealand,South Africa,South Africa,13 runs,Bridgetown,2010/05/06,T20I # 164
England,Pakistan,England,6 wickets,Bridgetown,2010/05/06,T20I # 163
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,2010/05/05,T20I # 162
Australia,Bangladesh,Australia,27 runs,Bridgetown,2010/05/05,T20I # 161
England,Ireland,no result,-,Providence,2010/05/04,T20I # 160
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,2010/05/04,T20I # 159
West Indies,England,West Indies,8 wickets,Providence,2010/05/03,T20I # 158
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,2010/05/03,T20I # 157
Australia,Pakistan,Australia,34 runs,Gros Islet,2010/05/02,T20I # 156
India,South Africa,India,14 runs,Gros Islet,2010/05/02,T20I # 155
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,2010/05/01,T20I # 154
Afghanistan,India,India,7 wickets,Gros Islet,2010/05/01,T20I # 153
West Indies,Ireland,West Indies,70 runs,Providence,2010/04/30,T20I # 152
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,2010/04/30,T20I # 151
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),2012/10/07,T20I # 289
Australia,West Indies,West Indies,74 runs,Colombo (RPS),2012/10/05,T20I # 288
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),2012/10/04,T20I # 287
India,South Africa,India,1 run,Colombo (RPS),2012/10/02,T20I # 286
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),2012/10/02,T20I # 285
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,2012/10/01,T20I # 284
New Zealand,West Indies,tied,-,Pallekele,2012/10/01,T20I # 283
India,Pakistan,India,8 wickets,Colombo (RPS),2012/09/30,T20I # 282
Australia,South Africa,Australia,8 wickets,Colombo (RPS),2012/09/30,T20I # 281
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,2012/09/29,T20I # 280
England,New Zealand,England,6 wickets,Pallekele,2012/09/29,T20I # 279
Australia,India,Australia,9 wickets,Colombo (RPS),2012/09/28,T20I # 278
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),2012/09/28,T20I # 277
England,West Indies,West Indies,15 runs,Pallekele,2012/09/27,T20I # 276
Sri Lanka,New Zealand,tied,-,Pallekele,2012/09/27,T20I # 275
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,2012/09/25,T20I # 274
Ireland,West Indies,no result,-,Colombo (RPS),2012/09/24,T20I # 273
England,India,India,90 runs,Colombo (RPS),2012/09/23,T20I # 272
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,2012/09/23,T20I # 271
Australia,West Indies,Australia,17 runs,Colombo (RPS),2012/09/22,T20I # 270
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,2012/09/22,T20I # 269
Afghanistan,England,England,116 runs,Colombo (RPS),2012/09/21,T20I # 268
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,2012/09/21,T20I # 267
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,2012/09/20,T20I # 266
Afghanistan,India,India,23 runs,Colombo (RPS),2012/09/19,T20I # 265
Australia,Ireland,Australia,7 wickets,Colombo (RPS),2012/09/19,T20I # 264
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,2012/09/18,T20I # 263
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,2014/04/06,T20I # 400
India,South Africa,India,6 wickets,Mirpur,2014/04/04,T20I # 399
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,2014/04/03,T20I # 398
Pakistan,West Indies,West Indies,84 runs,Mirpur,2014/04/01,T20I # 397
Bangladesh,Australia,Australia,7 wickets,Mirpur,2014/04/01,T20I # 396
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,2014/03/31,T20I # 395
England,Netherlands,Netherlands,45 runs,Chattogram,2014/03/31,T20I # 394
Australia,India,India,73 runs,Mirpur,2014/03/30,T20I # 393
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,2014/03/30,T20I # 392
England,South Africa,South Africa,3 runs,Chattogram,2014/03/29,T20I # 391
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,2014/03/29,T20I # 390
Bangladesh,India,India,8 wickets,Mirpur,2014/03/28,T20I # 389
Australia,West Indies,West Indies,6 wickets,Mirpur,2014/03/28,T20I # 388
England,Sri Lanka,England,6 wickets,Chattogram,2014/03/27,T20I # 387
Netherlands,South Africa,South Africa,6 runs,Chattogram,2014/03/27,T20I # 386
Bangladesh,West Indies,West Indies,73 runs,Mirpur,2014/03/25,T20I # 385
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,2014/03/24,T20I # 384
New Zealand,South Africa,South Africa,2 runs,Chattogram,2014/03/24,T20I # 383
India,West Indies,India,7 wickets,Mirpur,2014/03/23,T20I # 382
Australia,Pakistan,Pakistan,16 runs,Mirpur,2014/03/23,T20I # 381
England,New Zealand,New Zealand,9 runs,Chattogram,2014/03/22,T20I # 380
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,2014/03/22,T20I # 379
India,Pakistan,India,7 wickets,Mirpur,2014/03/21,T20I # 378
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,2014/03/21,T20I # 377
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014/03/21,T20I # 376
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,2014/03/20,T20I # 375
Afghanistan,Nepal,Nepal,9 runs,Chattogram,2014/03/20,T20I # 374
Ireland,U.A.E.,Ireland,21 runs,Sylhet,2014/03/19,T20I # 373
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014/03/19,T20I # 372
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,2014/03/18,T20I # 371
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,2014/03/18,T20I # 370
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,2014/03/17,T20I # 369
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,2014/03/17,T20I # 368
Hong Kong,Nepal,Nepal,80 runs,Chattogram,2014/03/16,T20I # 367
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,2014/03/16,T20I # 366
England,West Indies,West Indies,4 wickets,Eden Gardens,2016/04/03,T20I # 557
India,West Indies,West Indies,7 wickets,Wankhede,2016/03/31,T20I # 556
England,New Zealand,England,7 wickets,Delhi,2016/03/30,T20I # 555
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,2016/03/28,T20I # 554
India,Australia,India,6 wickets,Mohali,2016/03/27,T20I # 553
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,2016/03/27,T20I # 552
England,Sri Lanka,England,10 runs,Delhi,2016/03/26,T20I # 551
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,2016/03/26,T20I # 550
South Africa,West Indies,West Indies,3 wickets,Nagpur,2016/03/25,T20I # 549
Australia,Pakistan,Australia,21 runs,Mohali,2016/03/25,T20I # 548
India,Bangladesh,India,1 run,Bengaluru,2016/03/23,T20I # 547
Afghanistan,England,England,15 runs,Delhi,2016/03/23,T20I # 546
New Zealand,Pakistan,New Zealand,22 runs,Mohali,2016/03/22,T20I # 545
Australia,Bangladesh,Australia,3 wickets,Bengaluru,2016/03/21,T20I # 544
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,2016/03/20,T20I # 543
Afghanistan,South Africa,South Africa,37 runs,Wankhede,2016/03/20,T20I # 542
India,Pakistan,India,6 wickets,Eden Gardens,2016/03/19,T20I # 541
England,South Africa,England,2 wickets,Wankhede,2016/03/18,T20I # 540
Australia,New Zealand,New Zealand,8 runs,Dharamsala,2016/03/18,T20I # 539
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,2016/03/17,T20I # 538
England,West Indies,West Indies,6 wickets,Wankhede,2016/03/16,T20I # 537
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,2016/03/16,T20I # 536
India,New Zealand,New Zealand,47 runs,Nagpur,2016/03/15,T20I # 535
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,2016/03/13,T20I # 534
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,2016/03/13,T20I # 533
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,2016/03/12,T20I # 532
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,2016/03/12,T20I # 531
Bangladesh,Ireland,no result,-,Dharamsala,2016/03/11,T20I # 530
Netherlands,Oman,no result,-,Dharamsala,2016/03/11,T20I # 529
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,2016/03/10,T20I # 528
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,2016/03/10,T20I # 527
Ireland,Oman,Oman,2 wickets,Dharamsala,2016/03/09,T20I # 525
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,2016/03/09,T20I # 524
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,2016/03/08,T20I # 523
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,2016/03/08,T20I # 522
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),2021/11/14,T20I # 1428
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),2021/11/11,T20I # 1420
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,2021/11/10,T20I # 1415
India,Namibia,India,9 wickets,Dubai (DICS),2021/11/08,T20I # 1410
Pakistan,Scotland,Pakistan,72 runs,Sharjah,2021/11/07,T20I # 1406
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,2021/11/07,T20I # 1402
England,South Africa,South Africa,10 runs,Sharjah,2021/11/06,T20I # 1400
