Team,Year,Player Name
Afghanistan,2010,Nawroz Mangal
Afghanistan,2010,Asghar Afghan
Afghanistan,2010,Karim Sadiq
Afghanistan,2010,Mohammad Shahzad
Afghanistan,2010,Noor Ali Zadran
Afghanistan,2010,Raees Ahmadzai
Afghanistan,2010,Shabir Noori
Afghanistan,2010,Shafiqullah
Afghanistan,2010,Mohammad Nabi
Afghanistan,2010,Samiullah Shinwari
Afghanistan,2010,Dawlat Ahmadzai
Afghanistan,2010,Hamid Hassan
Afghanistan,2010,Mirwais Ashraf
Afghanistan,2010,Shapoor Zadran
Afghanistan,2010,Sayed Nasratullah
Afghanistan,2012,Nawroz Mangal
Afghanistan,2012,Asghar Afghan
Afghanistan,2012,Javed Ahmadi
Afghanistan,2012,Karim Sadiq
Afghanistan,2012,Mohammad Shahzad
Afghanistan,2012,Najibullah Zadran
Afghanistan,2012,Shafiqullah
Afghanistan,2012,Gulbadin Naib
Afghanistan,2012,Mohammad Nabi
Afghanistan,2012,Samiullah Shinwari
Afghanistan,2012,Dawlat Zadran
Afghanistan,2012,Hamid Hassan
Afghanistan,2012,Izatullah Dawlatzai
Afghanistan,2012,Mohammad Nasim Baras
Afghanistan,2012,Shapoor Zadran
Afghanistan,2014,Asghar Afghan
Afghanistan,2014,Karim Sadiq
Afghanistan,2014,Mohammad Shahzad
Afghanistan,2014,Najeeb Tarakai
Afghanistan,2014,Najibullah Zadran
Afghanistan,2014,Nawroz Mangal
Afghanistan,2014,Shafiqullah
Afghanistan,2014,Mohammad Nabi
Afghanistan,2014,Amir Hamza
Afghanistan,2014,Gulbadin Naib
Afghanistan,2014,Samiullah Shinwari
Afghanistan,2014,Aftab Alam
Afghanistan,2014,Dawlat Zadran
Afghanistan,2014,Mirwais Ashraf
Afghanistan,2014,Shapoor Zadran
Afghanistan,2016,Asghar Afghan
Afghanistan,2016,Karim Sadiq
Afghanistan,2016,Mohammad Shahzad
Afghanistan,2016,Najibullah Zadran
Afghanistan,2016,Noor Ali Zadran
Afghanistan,2016,Shafiqullah
Afghanistan,2016,Usman Ghani
Afghanistan,2016,Amir Hamza
Afghanistan,2016,Gulbadin Naib
Afghanistan,2016,Mohammad Nabi
Afghanistan,2016,Rashid Khan
Afghanistan,2016,Samiullah Shinwari
Afghanistan,2016,Dawlat Zadran
Afghanistan,2016,Hamid Hassan
Afghanistan,2016,Shapoor Zadran
Afghanistan,2021,Hashmatullah Shahidi
Afghanistan,2021,Hazratullah Zazai
Afghanistan,2021,Mohammad Shahzad
Afghanistan,2021,Najibullah Zadran
Afghanistan,2021,Rahmanullah Gurbaz
Afghanistan,2021,Usman Ghani
Afghanistan,2021,Mohammad Nabi
Afghanistan,2021,Gulbadin Naib
Afghanistan,2021,Karim Janat
Afghanistan,2021,Rashid Khan
Afghanistan,2021,Sharafuddin Ashraf
Afghanistan,2021,Fareed Ahmad
Afghanistan,2021,Hamid Hassan
Afghanistan,2021,Mujeeb Ur Rahman
Afghanistan,2021,Naveen-ul-Haq
Afghanistan,2022,Darwish Rasooli
Afghanistan,2022,Ibrahim Zadran
Afghanistan,2022,Najibullah Zadran
Afghanistan,2022,Rahmanullah Gurbaz
Afghanistan,2022,Usman Ghani
Afghanistan,2022,Mohammad Nabi
Afghanistan,2022,Azmatullah Omarzai
Afghanistan,2022,Gulbadin Naib
Afghanistan,2022,Rashid Khan
Afghanistan,2022,Fareed Ahmad
Afghanistan,2022,Fazalhaq Farooqi
Afghanistan,2022,Mohammad Saleem
Afghanistan,2022,Mujeeb Ur Rahman
Afghanistan,2022,Naveen-ul-Haq
Afghanistan,2022,Qais Ahmad
Afghanistan,2024,Rahmanullah Gurbaz
Afghanistan,2024,Hazratullah Zazai
Afghanistan,2024,Ibrahim Zadran
Afghanistan,2024,Mohammad Ishaq
Afghanistan,2024,Najibullah Zadran
Afghanistan,2024,Rashid Khan
Afghanistan,2024,Azmatullah Omarzai
Afghanistan,2024,Gulbadin Naib
Afghanistan,2024,Karim Janat
Afghanistan,2024,Mohammad Nabi
Afghanistan,2024,Nangeyalia Kharote
Afghanistan,2024,Fareed Ahmad
Afghanistan,2024,Fazalhaq Farooqi
Afghanistan,2024,Naveen-ul-Haq
Afghanistan,2024,Noor Ahmad
Australia,2007,Adam Gilchrist
Australia,2007,Michael Clarke
Australia,2007,Brad Haddin
Australia,2007,Matthew Hayden
Australia,2007,Brad Hodge
