Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
India,Pakistan,India,5 runs,Johannesburg,2007/09/24,T20I # 46,67.13,65.87,80.67,63.4,0,0,0,0,100.0
Australia,India,India,15 runs,Durban,2007/09/22,T20I # 45,66.54,70.2,58.77,82.4,0,0,0,0,0.0
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,2007/09/22,T20I # 44,66.07,67.2,68.6,66.6,0,0,0,0,0.0
South Africa,India,India,37 runs,Durban,2007/09/20,T20I # 43,69.53,75.67,76.93,86.33,0,0,0,0,0.0
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,2007/09/20,T20I # 42,75.53,69.67,70.6,68.33,0,0,0,0,0.0
Australia,Sri Lanka,Australia,10 wickets,Cape Town,2007/09/20,T20I # 41,67.38,72.07,59.54,73.53,0,0,0,0,0.0
England,India,India,18 runs,Durban,2007/09/19,T20I # 40,65.87,81.53,73.27,88.8,0,0,0,0,50.0
South Africa,New Zealand,South Africa,6 wickets,Durban,2007/09/19,T20I # 39,70.8,65.73,74.93,69.6,0,0,0,0,0.0
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,2007/09/18,T20I # 38,73.53,72.4,72.33,72.13,0,0,0,0,0.0
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,2007/09/18,T20I # 37,66.85,69.27,59.15,69.07,0,0,0,0,0.0
England,New Zealand,New Zealand,5 runs,Durban,2007/09/18,T20I # 36,69.53,66.4,69.2,72.33,0,0,0,0,0.0
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,2007/09/17,T20I # 35,70.07,74.13,74.07,74.87,0,0,0,0,0.0
South Africa,England,South Africa,19 runs,Cape Town,2007/09/16,T20I # 34,71.67,70.07,75.4,69.8,0,0,0,0,0.0
Australia,Bangladesh,Australia,9 wickets,Cape Town,2007/09/16,T20I # 33,65.46,72.47,60.08,71.4,0,0,0,0,0.0
India,New Zealand,New Zealand,10 runs,Johannesburg,2007/09/16,T20I # 32,87.0,70.33,90.2,75.2,0,0,0,0,0.0
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,2007/09/15,T20I # 31,72.07,73.2,81.0,72.4,0,0,0,0,0.0
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,2007/09/15,T20I # 30,75.4,74.27,82.73,77.07,0,0,0,0,50.0
India,Pakistan,tied,-,Durban,2007/09/14,T20I # 29,95.13,67.0,97.4,73.27,0,0,0,0,0.0
Australia,England,Australia,8 wickets,Cape Town,2007/09/14,T20I # 28,64.62,72.6,61.54,69.73,0,0,0,0,50.0
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,2007/09/14,T20I # 27,89.13,83.8,88.73,81.6,0,0,0,0,0.0
India,Scotland,no result,-,Durban,2007/09/13,T20I # 26,94.93,95.33,97.8,95.6,0,0,0,0,0.0
England,Zimbabwe,England,50 runs,Cape Town,2007/09/13,T20I # 25,73.53,84.53,76.07,82.8,0,0,0,0,0.0
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,2007/09/13,T20I # 24,74.53,69.13,75.87,68.4,0,0,0,0,0.0
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,2007/09/12,T20I # 23,66.15,92.8,62.0,93.0,0,0,0,0,0.0
Pakistan,Scotland,Pakistan,51 runs,Durban,2007/09/12,T20I # 22,68.8,101.0,77.07,101.0,0,0,0,0,0.0
Kenya,New Zealand,New Zealand,9 wickets,Durban,2007/09/12,T20I # 21,86.4,71.53,84.73,82.4,0,0,0,0,0.0
South Africa,West Indies,South Africa,8 wickets,Johannesburg,2007/09/11,T20I # 20,71.67,65.87,80.33,70.67,0,0,0,0,0.0
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,2009/06/21,T20I # 116,75.2,80.67,67.67,75.07,1,0,1,0,66.6
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,2009/06/19,T20I # 115,80.2,72.2,77.27,70.8,1,0,1,0,0.0
Pakistan,South Africa,Pakistan,7 runs,Nottingham,2009/06/18,T20I # 114,76.33,70.93,69.4,66.73,1,0,1,0,0.0
India,South Africa,South Africa,12 runs,Nottingham,2009/06/16,T20I # 113,70.67,71.2,71.27,68.2,1,1,1,0,100.0
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,2009/06/16,T20I # 112,74.33,81.6,77.33,78.33,1,0,1,0,33.3
England,West Indies,West Indies,5 wickets,The Oval,2009/06/15,T20I # 111,74.93,71.0,69.13,73.13,1,0,1,0,33.3
Ireland,Pakistan,Pakistan,39 runs,The Oval,2009/06/15,T20I # 110,94.47,76.93,89.53,71.73,0,0,1,0,0.0
England,India,England,3 runs,Lord's,2009/06/14,T20I # 109,77.67,71.33,70.33,73.67,1,0,1,1,0.0
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,2009/06/14,T20I # 108,96.87,81.2,92.8,79.2,0,0,1,0,0.0
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,2009/06/13,T20I # 107,73.47,77.6,75.87,72.93,1,0,1,0,0.0
South Africa,West Indies,South Africa,20 runs,The Oval,2009/06/13,T20I # 106,72.0,70.8,70.4,72.47,1,0,1,0,66.6
India,West Indies,West Indies,7 wickets,Lord's,2009/06/12,T20I # 105,72.33,73.27,75.47,76.47,1,1,1,0,0.0
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,2009/06/12,T20I # 104,77.0,81.33,73.4,79.4,1,0,1,0,66.6
England,South Africa,South Africa,7 wickets,Nottingham,2009/06/11,T20I # 103,76.27,74.0,71.27,72.53,1,0,1,0,0.0
